price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
140,2,37,2.64,1,157
90,3,8,0.32,1,0
225,2,3,0.09,1,88
47,1,18,0.8,1,0
155,20,25,1.06,2,62
157,4,54,0.66,2,12
150,3,28,2.58,2,57
130,2,3,3,3,132
40,1,1,1,3,179
75,1,2,1.82,7,362
150,1,14,1.89,1,89
57,2,104,2.33,1,0
250,5,6,0.28,2,354
55,7,2,0.33,1,0
110,1,7,2.56,2,1
100,31,15,0.18,1,223
70,4,10,0.21,1,0
58,2,11,2.7,4,365
119,6,117,3.65,2,207
150,5,1,0.04,1,0
35,1,30,3.25,4,143
65,1,47,1.48,6,365
175,3,2,2,1,329
44,14,2,1.71,1,0
75,1,2,0.92,3,351
170,5,22,0.38,1,259
89,1,12,1.07,1,160
275,30,1,0.07,7,364
30,30,1,0.05,6,365
200,4,24,0.45,1,0
125,4,12,3.96,1,0
95,2,6,0.48,1,0
250,9,1,0.16,1,251
150,3,1,0.09,1,0
349,2,1,0.58,4,365
259,8,17,0.17,1,343
78,4,5,0.11,1,0
62,1,68,5.86,3,310
37,2,25,1.11,3,306
70,1,1,0.05,1,0
64,4,1,0.03,1,0
169,7,1,0.65,13,365
189,3,6,0.16,1,0
300,1,3,0.76,1,363
89,4,6,0.14,1,35
250,3,1,1,1,60
24,18,1,0.02,1,0
259,1,94,1.85,11,365
175,30,2,0.15,10,161
110,2,9,0.41,3,0
156,30,2,0.09,96,189
125,2,246,3.3,1,216
35,1,61,2.12,2,124
195,3,4,0.22,1,0
60,1,124,3.94,1,86
40,30,8,0.42,3,204
120,4,1,0.02,1,0
195,3,5,0.1,1,0
36,1,1,0.02,1,0
38,21,13,0.42,1,26
50,1,57,7.28,3,342
102,3,64,1.38,1,296
109,30,20,0.34,8,90
250,2,9,0.36,1,0
100,1,1,0.03,1,0
400,3,17,1.16,1,334
150,1,59,6.04,3,0
130,2,21,0.94,1,0
140,3,135,1.3,3,192
184,2,51,1.72,3,300
39,30,3,0.14,8,282
300,4,28,1.52,1,179
77,3,4,0.14,1,0
75,3,21,1.06,1,0
48,30,1,0.21,25,220
44,28,14,0.39,1,275
100,2,226,2.12,3,250
75,1,3,2.2,6,365
150,1,3,0.1,1,359
95,1,30,2.66,9,353
90,2,85,1.99,2,4
129,5,8,0.61,1,0
150,2,2,0.1,2,0
390,15,1,0.91,1,15
49,1,4,0.19,1,0
40,1,32,1.75,2,123
70,20,3,0.15,4,275
235,1,35,1.29,2,9
240,1,2,2,1,154
100,2,2,0.08,1,0
58,2,1,0.25,2,0
150,3,4,0.23,1,0
65,1,48,6.7,1,4
120,5,2,0.2,1,301
150,1,1,1,1,165
190,6,2,0.12,1,0
155,4,35,1.45,3,157
105,2,108,4.18,1,320
225,2,129,1.41,1,107
100,2,1,0.03,1,0
55,3,4,0.36,1,21
415,4,43,3.33,2,71
200,1,17,0.77,2,87
148,2,38,3.28,2,102
160,5,14,3.04,1,205
180,10,3,2.09,1,5
83,3,29,0.58,1,227
185,2,32,0.92,1,26
90,2,32,1.24,1,20
100,4,3,0.1,1,0
165,2,23,0.83,3,182
345,3,141,2.34,1,273
352,4,15,0.63,1,13
95,1,132,6.45,1,27
93,3,21,2.7,1,73
85,1,118,2.38,1,327
155,10,9,0.8,1,103
110,7,8,2.16,2,243
85,1,9,3.25,9,365
55,2,7,0.58,1,0
299,5,3,1.91,1,119
99,3,29,0.7,13,50
150,1,6,0.53,1,191
125,21,2,0.5,1,81
110,1,5,0.27,1,0
100,3,2,0.06,1,0
185,1,4,4,1,3
350,2,60,4.28,1,224
25,1,17,2.79,3,231
60,1,2,2,4,79
250,4,3,0.13,1,333
99,2,6,0.93,3,49
333,1,246,6.38,1,323
60,7,1,0.04,1,0
65,2,50,1.39,2,15
200,2,147,3.24,1,103
123,2,62,2.48,2,131
200,2,13,1.3,1,0
152,1,5,0.14,1,0
93,30,1,0.04,1,45
52,7,1,0.19,1,0
150,26,1,0.02,1,0
95,1,85,2.93,1,0
95,5,25,0.4,1,0
50,2,201,2.42,1,54
179,1,12,1.69,30,175
35,30,7,0.28,8,78
185,1,2,0.06,1,0
200,2,1,1,1,32
55,2,60,1.62,4,88
199,5,53,1.67,1,0
150,2,60,2.61,1,94
350,1,2,1.58,1,127
50,14,54,1.61,2,86
59,5,8,0.74,1,177
40,5,7,0.49,2,0
125,2,13,0.64,1,0
100,30,2,0.04,52,342
50,3,3,0.43,1,0
58,1,148,3.58,1,280
32,2,10,0.32,5,342
175,7,1,1,1,17
100,1,1,0.02,2,44
220,2,58,7.53,1,144
199,2,18,2.92,1,16
95,2,2,0.06,1,0
165,3,15,0.27,2,158
43,2,27,0.68,1,0
80,1,38,7.6,5,29
90,1,36,0.99,8,346
85,2,147,3.88,1,304
249,3,85,1.59,1,158
75,1,5,4.05,3,365
100,2,10,0.42,1,66
90,2,40,1.92,1,9
110,1,85,1.9,1,304
196,5,66,1.23,1,323
60,1,86,1.94,1,0
110,30,10,0.18,52,323
60,3,46,1.77,1,48
145,3,147,3.62,1,235
75,2,8,0.52,1,0
175,2,5,0.34,1,15
60,3,2,0.31,1,189
150,3,3,2.43,3,4
60,2,5,1.53,1,0
135,2,10,0.26,1,88
170,3,1,0.02,1,0
225,2,37,3.84,1,229
80,5,51,3.23,1,57
250,7,8,0.22,1,294
200,2,3,0.12,1,0
150,3,18,0.49,2,0
249,2,62,3.94,5,32
220,30,4,0.16,1,124
175,2,41,4.16,1,247
60,9,1,0.33,1,83
65,2,26,0.45,2,6
79,2,88,5.69,1,107
260,1,38,2.56,1,86
75,5,1,0.05,1,0
269,1,18,1.67,2,55
300,1,23,0.69,5,364
250,2,20,2.3,1,0
75,2,5,0.08,1,0
69,2,25,0.47,2,125
70,20,11,0.21,1,211
28,1,4,2.07,7,64
55,1,32,2.96,1,333
95,30,4,0.14,11,311
110,3,4,0.11,1,0
800,3,33,0.76,1,178
90,1,35,7.24,2,261
85,1,71,1.55,2,186
70,45,1,0.09,1,2
85,1,1,0.12,1,177
69,2,3,3,1,2
85,2,45,0.77,2,90
95,2,35,2.58,1,180
50,1,108,1.84,1,261
46,7,3,0.25,1,0
140,2,17,0.16,1,292
55,14,2,0.06,1,0
190,2,26,0.58,1,42
10,3,5,0.51,1,0
195,2,7,0.15,1,0
45,1,17,0.72,2,365
160,1,3,0.41,2,359
60,30,1,1,32,317
34,1,70,6.84,1,1
99,2,48,3.52,2,327
55,2,6,0.14,1,0
175,2,85,3.43,1,0
90,4,1,0.03,1,0
86,1,154,9.53,2,311
42,2,25,0.54,1,283
125,2,2,0.04,1,0
239,2,6,3.46,1,335
125,3,142,3.59,1,185
70,1,26,5.23,1,0
130,1,1,0.05,1,0
90,2,1,0.08,2,0
60,4,3,0.1,1,0
60,1,13,7.5,1,316
225,2,4,0.1,1,0
50,1,112,2.78,8,84
110,10,6,0.08,1,13
274,2,34,1.37,1,315
190,1,12,0.93,1,9
270,30,3,0.11,21,255
175,2,3,1.14,1,4
120,1,3,0.12,1,0
230,6,1,0.02,1,0
70,2,2,0.11,1,0
95,1,1,0.03,1,0
169,2,33,0.47,2,340
130,9,3,0.04,1,329
99,2,171,5.3,2,1
55,2,55,1.12,3,342
115,7,3,0.48,1,11
50,1,95,5.63,2,0
200,1,2,0.08,1,178
140,2,133,2.52,2,283
155,2,10,4.92,8,270
29,2,58,2.02,2,0
122,2,38,4.44,2,211
350,2,8,1.06,1,129
105,14,6,0.07,1,0
45,5,23,0.66,6,216
250,3,37,2.39,2,140
195,2,53,4.86,1,150
195,3,124,2.2,1,305
40,2,50,1.63,2,179
345,3,181,2.69,2,213
95,3,5,0.96,1,49
120,2,128,2.74,1,246
150,3,10,0.64,2,187
105,3,71,3.08,1,285
150,7,1,0.02,1,0
273,3,13,0.6,1,116
195,30,1,0.56,13,138
155,5,24,0.4,1,88
117,2,3,0.1,1,285
120,30,9,0.24,34,339
279,3,2,0.05,1,0
